recency_days,fatigue_score,sentiment_score,engagement_rate_30d,reply_rate_90d,opt_out_risk,mms_affinity,label
5,0.456832538729302,1.2373899258246273,0.5489866626141856,0.34327411934835944,0.07857395351274567,0.3648647994339073,1
47,0.04491106462147911,0.9693832736896071,0.6529820488973089,0.6007117287246638,0.06566392749230943,0.44875806186304457,1
39,0.4922258873831604,1.5651374185876605,0.5455215488867456,0.043359518155345514,0.4136400397280108,0.4783947186436716,0
26,0.32425471559362995,0.44732678373666346,0.6047855839235303,0.3106742971775121,0.03264481292695016,0.16352395340951634,0
26,0.66378473863865,0.43448417789882443,0.48381660448168845,0.4348945831518834,0.11350816517016696,0.5897306988570108,1
52,0.2821694560109185,-0.3899326221097086,0.5769515729243354,0.20264982508333843,0.1747965706658387,0.1060035326401614,0
5,0.6345750520113201,0.6608119179963988,0.8908181417583155,0.21994454817116824,0.12307268679458623,0.8324809979188086,1
42,0.5706239668509768,-0.5248935440344715,0.3186593073554171,0.1668606750669562,0.1253390337162286,0.0988021691354423,0
12,0.23582870954321936,-1.1763644195052627,0.2774033147499041,0.5338578401902805,0.26766839649438157,0.15512669953126368,0
5,0.23249027980116865,1.2210587137982039,0.829768010797168,0.13185244611987176,0.03532371193986964,0.5225376153670781,1
32,0.32332480281651604,-0.9993452757061372,0.5691393653080447,0.06533533138278422,0.05267300117586404,0.22140221256569403,0
59,0.3487983084841945,0.3510814316764788,0.5496344972492028,0.1060414768283376,0.05681356896142734,0.07608533824206895,1
44,0.23868840867919391,-0.7042650982666898,0.06099285333293691,0.5603322424872574,0.26297206239738025,0.6669162656289567,0
46,0.525621063618103,0.901334098233467,0.3649433311290947,0.38768339776403427,0.0889464126474199,0.4862174874528805,1
43,0.2080654044773983,1.0103599886165566,0.6354375495885187,0.2846563258745689,0.1410248377731301,0.6220648939319003,1
47,0.22449326499878863,0.4233422459385488,0.22432366348610897,0.3511997342978235,0.3628989121442298,0.0932941653441753,0
31,0.3175838778259002,0.9970917675809594,0.827775513568137,0.09156686557300266,0.3956128700342329,0.365233643577997,0
7,0.6102739667831995,0.005869660664898385,0.3624198541393667,0.22405988698879875,0.12420857171259486,0.23836797720944453,0
51,0.2507269265111681,1.7873397446608401,0.4272229957421634,0.2696609245851481,0.1911582319907943,0.7593588129230857,1
27,0.5683763957539739,0.5969321867943259,0.09246724261989647,0.24139436031145212,0.13838578307214935,0.33188742304767693,0
